Pool	Raw_Reads	Filtered_Reads	Mapped_Reads	%_Duplicate	Filtered_Mapped_Reads	%_mapping_to_mitochondrial_genome
capture13_b10	1499041	1473764	1162932	6.48	1342856	2.45
capture13_b1	961119	943756	828273	6.1	816047	3.13
capture13_b2	5243694	2336974	1745371	6.37	996074	0.99
capture13_b6	5952811	2317116	1309020	5.42	2093517	0.96
capture13_b7	1092236	1035992	961693	5.78	1100454	2.29
capture13_g1	1266719	1244900	977718	5.74	1050526	2.51
capture13_g5	1416380	1393836	931269	7.1	1169922	1.96
capture13_g6	998112	981399	717703	6.21	932970	3.57
capture13_g7	1235622	1215623	935094	5.73	858104	1.47
capture13_g8	1176205	1157999	586022	5.29	934066	2.35
capture13_k1	869800	854046	819299	5.76	869770	2.43
capture13_k2	1567821	1535780	1456512	6.12	1617775	1.3
capture13_k3	1250057	1231230	958644	6.14	916548	1.48
capture13_k5	1132416	1110041	1053557	6.52	1176563	1.73
capture13_k8	2113607	1959432	1617222	5.85	1970250	1.07
capture13_m1	1247309	1227062	1138179	5.9	901747	1.83
capture13_m3	1067916	1049413	977817	7.04	898167	2.08
capture13_m5	1487085	1462180	1292503	6.28	935362	2.21
capture13_m7	957256	940963	873939	5.68	806969	3.37
capture13_m9	1068214	1051749	757813	5.56	1002995	1.99
capture13_n1	811553	796973	699889	5.54	771856	2.82
capture13_n2	1138094	1119160	927213	6.66	936301	1.56
capture13_n3	1119965	1100481	990202	6.67	895372	1.78
capture13_n4	1027280	1010241	828634	5.63	1025478	1.74
capture13_n5	1160930	1140703	975642	5.92	981384	2.18
capture16_b10	1636608	1620560	1538817	8.97	1342537	2.21
capture16_b1	1082270	1071585	939337	7.61	816082	3.8
capture16_b2	5645145	2841187	2447637	9.0	996955	0.8
capture16_b6	5621137	2528689	2331217	8.17	2093290	0.83
capture16_b7	1247484	1194448	1274197	8.2	1099798	1.98
capture16_g1	1434203	1420357	1340559	7.79	1050338	1.72
capture16_g5	1375295	1361484	1069317	9.57	1170264	1.73
capture16_g6	970726	960934	828896	8.59	933017	3.21
capture16_g7	1060577	1049954	763519	7.23	857664	4.31
capture16_g8	1126378	1116658	649799	6.7	934159	2.05
capture16_k1	926013	916377	997906	8.33	870143	2.16
capture16_k2	1944453	1919418	2030359	8.45	1616913	1.06
capture16_k3	1155467	1144103	1051120	8.08	916473	1.31
capture16_k5	1234836	1220490	1283482	8.82	1176027	1.46
capture16_k8	2617959	2465539	2306068	8.29	1970850	0.91
capture16_m1	1353758	1340389	894266	7.65	900904	2.25
capture16_m3	1114463	1102809	1150996	9.49	899087	1.81
capture16_m5	1686315	1669489	1700310	8.71	935990	1.96
capture16_m7	1098350	1087308	1160277	8.17	807170	2.98
capture16_m9	1304276	1292116	1201094	7.43	1001820	1.65
capture16_n1	892191	883052	930410	7.84	771292	2.34
capture16_n2	1091678	1080554	1042211	9.79	936341	1.38
capture16_n3	1071835	1060295	1097765	9.02	894779	1.58
capture16_n4	1020845	1010840	1006540	7.62	1025512	1.52
capture16_n5	1007396	996923	999745	8.12	981674	1.95
